,Date,Wins,Losses,Draws,Current lose streak,Current win streak,Average significant strikes landed,Average significant strike %,Average submissions attempted,Average takedowns landed,Average takedown %,Longest win streak,Total rounds fought,Total title bouts,Wins by majority decision,Wins by split decision,Wins by unanimous decision,Wins by KO/TKO,Wins by Submission,Wins by Doctor Stoppage,Age,Stance,Height (cm),Reach (cm),Win ratio,Total fights,location,country
Emil Meek,2020-02-22,1,2,0,2,0,2.24,0.38,1.3,0.33,0.5,1,9,0,0,0,1,0,0,0,31,Switch,180.34,187.96,0.3333333333333333,3,Trondheim Norway,Norway
Emily Peters Kagan,2015-12-10,0,1,0,1,0,41.0,0.45,0.0,2.0,0.16,0,3,0,0,0,0,0,0,0,34,Orthodox,160.02,167.64,0.0,1,"Albuquerque, New Mexico USA",USA
Enrique Barzola,2019-10-26,6,2,0,0,1,3.93,0.39,0.2,4.56,0.45,4,24,0,0,1,5,0,0,0,30,Orthodox,170.18,177.8,0.75,8,Lima Peru,Peru
Enrique Marin,2016-07-09,0,1,0,1,0,27.0,0.28,0.0,1.0,0.33,0,3,1,0,0,0,0,0,0,29,Orthodox,177.8,187.96,0.0,1,"Huntington Beach, California USA",USA
Eric Shelton,2018-11-10,1,3,0,1,0,47.5,0.45,0.25,2.5,0.385,1,12,0,0,0,1,0,0,0,27,Orthodox,167.64,172.72,0.25,4,"Davenport, Iowa USA",USA
Eric Spicely,2018-05-27,2,2,0,1,0,7.5,0.565,0.75,0.75,0.2575,2,5,0,0,0,0,0,2,0,31,Orthodox,185.42,185.42,0.5,4,"Olneyville, Rhode Island USA",USA
Erick Montano,2016-11-05,1,1,0,1,0,35.0,0.465,0.0,2.0,0.455,1,6,1,0,1,0,0,0,0,30,Orthodox,182.88,185.42,0.5,2,Mexico City Mexico,Mexico
Erick Silva,2017-12-16,7,7,0,1,0,18.0,0.548571429,0.714285714,0.428571429,0.172142857,2,25,0,0,0,0,2,5,0,33,Orthodox,182.88,187.96,0.5,14,"Vila Velha, Espirito Santo Brazil",Brazil
Ericka Almeida,2015-10-24,0,1,0,1,0,13.0,0.35,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,26,Orthodox,167.64,172.72,0.0,1,"Sorocaba, Sao Paulo Brazil",Brazil
Erik Koch,2019-07-27,7,6,0,2,0,2.33,0.42,1.0,1.02,0.42,4,27,0,0,0,2,3,2,0,30,Southpaw,177.8,180.34,0.5384615384615384,13,"Milwaukee, WI USA",USA
Erik Perez,2016-11-05,6,2,0,0,2,31.125,0.4825,0.125,2.0,0.33125,3,17,0,0,0,3,2,1,0,26,Orthodox,172.72,172.72,0.75,8,Monterrey Mexico,Mexico
Ernest Chavez,2014-10-04,1,1,0,1,0,41.0,0.415,0.0,1.0,0.5,1,6,0,0,1,0,0,0,0,31,Orthodox,172.72,177.8,0.5,2,"Orange County, CA USA",USA
Estevan Payan,2013-12-28,0,1,0,1,0,25.0,0.26,1.0,0.0,0.0,0,3,0,0,0,0,0,0,0,31,Orthodox,177.8,182.88,0.0,1,"Tempe, AZ USA",USA
Evan Dunham,2020-06-06,11,8,1,2,0,5.35,0.39,1.0,1.83,0.33,4,49,0,0,3,5,2,1,0,38,Southpaw,177.8,177.8,0.55,20,"Las Vegas, Nevada USA",USA
Fabio Maldonado,2015-11-07,5,5,0,1,0,69.1,0.536,0.5,0.4,0.25,3,26,0,0,1,2,2,0,0,35,Orthodox,185.42,190.5,0.5,10,"Florianopolis, Santa Catarina Brazil",Brazil
